                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1457,                 3.8718,                 2.1104,                0.38064,                  0.211,                0.17674,                0.05082,                 2.0816,                  3.489,                  2.209,             0.00041193,             0.00041193,             0.00041193
                      2,                 1.7219,                 2.8474,                 1.7966,                0.80116,                0.27778,                0.40209,                0.15607,                 2.1574,                 2.8782,                  3.065,             0.00079579,             0.00079579,             0.00079579
                      3,                 1.6881,                 2.4364,                 1.7177,                0.54498,                0.83216,                 0.6951,                0.26534,                 1.8783,                 1.8325,                 1.9725,              0.0011466,              0.0011466,              0.0011466
                      4,                 1.6278,                 2.1542,                 1.6353,                0.73983,                0.61429,                0.63601,                0.29741,                 1.5851,                 2.1874,                 1.7246,              0.0011015,              0.0011015,              0.0011015
                      5,                 1.5318,                 1.9857,                 1.5742,                0.42234,                0.67453,                0.64443,                0.33838,                 1.5306,                 1.6178,                 1.6967,               0.001052,               0.001052,               0.001052
                      6,                 1.4955,                 1.7769,                  1.548,                0.57732,                0.87226,                 0.7105,                0.39159,                 1.3095,                 1.4071,                 1.5413,              0.0010025,              0.0010025,              0.0010025
                      7,                 1.4955,                 1.7291,                 1.5517,                0.52189,                0.90263,                0.71677,                0.41715,                 1.3245,                 1.5326,                 1.5831,               0.000953,               0.000953,               0.000953
                      8,                 1.4123,                 1.6417,                 1.4836,                0.55299,                0.86998,                0.68978,                0.40451,                  1.201,                 1.3845,                 1.4308,              0.0009035,              0.0009035,              0.0009035
                      9,                  1.384,                 1.5515,                 1.4615,                0.60643,                0.83988,                0.75407,                0.45201,                 1.2621,                 1.3247,                 1.5189,               0.000854,               0.000854,               0.000854
                     10,                  1.362,                 1.5604,                   1.46,                0.59346,                0.83543,                0.81204,                0.49875,                 1.2688,                 1.2782,                 1.4635,              0.0008045,              0.0008045,              0.0008045
                     11,                 1.3363,                 1.4569,                 1.4294,                0.64804,                0.88125,                 0.7982,                0.49523,                 1.1207,                   1.14,                 1.3896,               0.000755,               0.000755,               0.000755
                     12,                 1.2883,                 1.4372,                 1.4151,                0.65616,                0.82149,                0.76758,                0.44085,                 1.3983,                 1.2249,                 1.5417,              0.0007055,              0.0007055,              0.0007055
                     13,                 1.2689,                 1.3728,                 1.3893,                0.70392,                0.81244,                 0.7836,                0.51565,                 1.0563,                 1.1189,                 1.3423,               0.000656,               0.000656,               0.000656
                     14,                 1.2403,                 1.3802,                 1.3662,                0.59699,                0.81574,                0.72898,                0.42399,                 1.1629,                 1.1686,                  1.381,              0.0006065,              0.0006065,              0.0006065
                     15,                 1.2279,                 1.3224,                 1.3567,                0.65042,                0.81484,                0.78071,                0.50891,                 1.1325,                 1.1526,                 1.3628,               0.000557,               0.000557,               0.000557
                     16,                 1.1012,                 1.1313,                  1.354,                0.67956,                0.79935,                0.78223,                0.52332,                 1.0273,                  1.027,                 1.2821,              0.0005075,              0.0005075,              0.0005075
                     17,                 1.0573,                  1.054,                 1.3141,                0.64497,                0.83476,                0.75304,                0.49586,                 1.0096,                 1.0732,                 1.3008,               0.000458,               0.000458,               0.000458
                     18,                 1.0394,                0.97937,                  1.301,                0.67633,                0.86547,                0.77389,                0.48807,                  1.207,                  1.011,                 1.4417,              0.0004085,              0.0004085,              0.0004085
                     19,                0.99983,                 0.9673,                 1.2744,                0.71374,                0.86042,                  0.766,                0.54582,                0.98285,                0.98189,                 1.2539,               0.000359,               0.000359,               0.000359
                     20,                0.99626,                0.93539,                 1.2816,                0.71417,                0.83746,                0.76126,                0.52865,                 1.0325,                0.98615,                  1.271,              0.0003095,              0.0003095,              0.0003095
                     21,                0.96017,                0.89036,                 1.2404,                0.72126,                0.88638,                0.79043,                0.52893,                 1.1072,                0.93315,                 1.3622,                0.00026,                0.00026,                0.00026
                     22,                0.94424,                0.87849,                 1.2445,                0.73747,                0.88493,                0.81609,                0.56987,                 1.0772,                0.94772,                 1.3425,              0.0002105,              0.0002105,              0.0002105
                     23,                0.90085,                0.85411,                   1.21,                 0.7297,                0.89725,                0.81849,                0.57478,                 1.0153,                 0.8792,                 1.3093,               0.000161,               0.000161,               0.000161
                     24,                0.88795,                0.82452,                 1.2079,                0.79509,                0.84722,                0.81589,                0.59481,                0.93097,                0.87706,                 1.2432,              0.0001115,              0.0001115,              0.0001115
                     25,                0.86062,                0.81445,                 1.1845,                0.80012,                0.84362,                0.85751,                0.61201,                0.97606,                0.82208,                 1.2658,                6.2e-05,                6.2e-05,                6.2e-05
